text	term	sentiment
the decor however seems to be the distraction so you wo n ' t notice that you just payed 300 bucks for some cold $T$ that took 2 frickin hours to come ! ! ! !	eggplant	negative
only complaint is the pricing - - i believe it would be more reasonable to pay a dollar less on each item listed on the $T$ .	menu	negative
fabulous food - if the $T$ do n ' t put you off –	front of house staff	negative
each time we ' ve been , the $T$ ( not the waiters - they ' re fantastic - but the people who greet and seat you ) has been so hideous to us that were it not for the exceptional fish dishes i would never return .	front of house staff	negative
as $T$ does n ' t take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated , which can be over an hour later !	bfc	negative
as bfc does n ' t take reservations you almost always have to wait by the bar - and be abused by the $T$ until you are seated , which can be over an hour later !	front of house staff	negative
the frizzy retro $T$ ( with winged / dame edna glasses ) will yell at you if you try to order a drink .	girl	negative
i ' d be horrified if my $T$ were turning away customers so early and so rudely !	staff	negative
there ' s another $T$ who i ca n ' t describe , she is about 5 ' 6 ' ' with brown hair , who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said , so her uninvited opinions are often out of context and nothing to do with what you ' re * really * talking about .	girl	negative
considering you will spend at least $ 60 a head , i expect better $T$ .	service	negative
$T$ - ' ' eat and get out ' '	maitre - d	negative
this guy refused to seat her and she left , followed shortly by the four of us , but not before i told him that in my 40 years of world travel , including paris , that i had never seen such a display of bad behavior by a $T$ in a restaurant .	frontman	negative
at first glance this place seems a bit pricey for a hot dog joint , but at $T$ you do n ' t just get your average hot dog .	bark	negative
poor $T$ and management	service	negative
poor service and $T$	management	negative
had an awful experience at $T$ on a saturday dinner .	casa la femme	negative
the $T$ was rude and handled the situation extremely poorly .	manager	negative
the $T$ was rude and handled the situation extremely poorly .	manager	negative
can ’ t believe how an expensive nyc $T$ can be so disrespectful to its clients .	restaurant	negative
there is no way it justifies the accolades it receives , the attitude of the $T$ or the wait for a table .	staff	negative
there is no way it justifies the accolades it receives , the attitude of the staff or the $T$ for a table .	wait	negative
mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine . . . but not the grunt that we received from the al di la $T$ .	staff	negative
the $T$ was well cooked , did n ' t have enough sauce though or flavor .	pasta	negative
the $T$ was rude and i got a distinct feeling that they did not want to serve us .	hostess	negative
the only thing that my friend left out is that when we sat down at the bar the $T$ disappeared .	bartender	negative
i asked for a menu and the same $T$ looked at my like i was insane .	waitress	negative
i was shocked that my friends wanted to stay after the $T$ said , ` ` can i help you ' ' and ` ` how many are in your party . ' '	waitress	negative
bad $T$	staff	negative
but the $T$ is horrid !	service	negative
i was there for brunch recently , and we were tag teamed by a $T$ and a waiter .	waitress	negative
i was there for brunch recently , and we were tag teamed by a waitress and a $T$ .	waiter	negative
the $T$ delivered our food while holding what appeared to be a plastic bag of garbage in one hand .	waiter	negative
the $T$ came to check in on us every few minutes , and began to clear the plates while half of us were still eating ( a big pet peeve of mine that happens almost everywhere , so i try to ignore it ) .	waitress	negative
i wish i could like this $T$ more , and i wish someone would retrain the staff .	place	negative
i wish i could like this place more , and i wish someone would retrain the $T$ .	staff	negative
also , specify if you like your $T$ spicy - its rather bland if you do n ' t .	food	negative
i ' m still mad that i had to pay for lousy $T$ .	food	negative
the $T$ was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .	hanger steak	negative
the hanger steak was like rubber and the $T$ was flavorless not to mention it tasted like it had just been thawed .	tuna	negative
the $T$ is very limited - i think we counted 4 or 5 entrees .	menu	negative
but the $T$ was so horrible to us .	staff	negative
decor is nice though $T$ can be spotty .	service	negative
i had their $T$ for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .	eggs benedict	negative
the $T$ is limited but almost all of the dishes are excellent .	menu	negative
the whole set up is truly unprofessional and i wish cafe noir would get some good $T$ , because despite the current one this is a great place .	staff	negative
you should pass on the $T$ .	calamari	negative
thalia is a beautiful restaurant with beautiful people serving you , but the $T$ does n ' t quite match up .	food	negative
i ordered the $T$ and it was off flavor .	smoked salmon and roe appetizer	negative
the $T$ are scary !	turkey burgers	negative
do not get the $T$ , no matter what the reviews say .	go go hamburgers	negative
small servings for main entree , i had $T$ ( wasnt impressed ) girlfriend had chicken , it was good .	salmon	negative
small $T$ , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .	servings for main entree	negative
the $T$ here was mediocre at best .	food	negative
the $T$ kind of feels like an alice in wonderland setting , without it trying to be that .	space	negative
i think the $T$ is so overrated and was under cooked .	pizza	negative
i think the $T$ is so overrated and was under cooked .	pizza	negative
$T$ had tomato or pimentos on top ? ?	chicken teriyaki	negative
the $T$ was not attentive at all .	waitress	negative
my $T$ tasted like it had been made by a three - year old with no sense of proportion or flavor .	quesadilla	negative
my $T$ tasted like it had been made by a three - year old with no sense of proportion or flavor .	quesadilla	negative
$T$ needs to be upgraded but the food is amazing !	decor	negative
the high prices you ' re going to pay is for the view not for the $T$ .	food	negative
rather than preparing $T$ , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .	vegetarian dish	negative
rather than preparing $T$ , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .	vegetarian dish	negative
rather than preparing vegetarian dish , the $T$ presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .	chef	negative
the only thing that strikes you is the $T$ ? ( not very pleasant ) .	decor	negative
however , our $ 14 $T$ were were horrible !	drinks	negative
however , our $ 14 $T$ were were horrible !	drinks	negative
the $T$ they serve is not comforting , not appetizing and uncooked .	food	negative
the $T$ they serve is not comforting , not appetizing and uncooked .	food	negative
the $T$ they serve is not comforting , not appetizing and uncooked .	food	negative
single worst $T$ in manhattan	restaurant	negative
how this $T$ survives the competitive west village market in this economy , or any other for that matter , is beyond me .	place	negative
the food and service were fine , however the $T$ was incredibly unwelcoming and arrogant .	maitre - d	negative
the food and service were fine , however the $T$ was incredibly unwelcoming and arrogant .	maitre - d	negative
a word to the wise : you ca n ' t dine here and disturb the $T$ ' s sense of ` ` table turnover ' ' , as whacked as it is , or else .	maitre - d	negative
do n ' t go to this $T$ !	place	negative
the $T$ was stale , the salad was overpriced and empty .	bread	negative
the bread was stale , the $T$ was overpriced and empty .	salad	negative
the bread was stale , the $T$ was overpriced and empty .	salad	negative
shame on this place for the horrible rude $T$ and non - existent customer service .	staff	negative
shame on this place for the horrible rude $T$ and non - existent customer service .	staff	negative
shame on this place for the horrible rude staff and non - existent $T$ .	customer service	negative
the $T$ is belligerent to guests that have a complaint .	owner	negative
the $T$ tasted like sticky sweet donuts and the honey walnut prawns , the few they actually give you . . . . . were not good .	lemon chicken	negative
the lemon chicken tasted like sticky sweet donuts and the $T$ , the few they actually give you . . . . . were not good .	honey walnut prawns	negative
the lemon chicken tasted like sticky sweet donuts and the $T$ , the few they actually give you . . . . . were not good .	honey walnut prawns	negative
nice ambience , but highly overrated $T$ .	place	negative
everyone that sat in the back outside agreed that it was the worst $T$ we had ever received .	service	negative
our $T$ was non - existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .	waiter	negative
i complained to the $T$ , but he was not even apologetic .	manager	negative
i liked the atmosphere very much but the $T$ was not worth the price .	food	negative
i liked the atmosphere very much but the $T$ was not worth the price .	food	negative
i may not be a sushi guru but i can tell you that the $T$ here is just okay and that there is not much else to it .	food	negative
$T$ is too dry , tuna was n ' t so fresh either .	rice	negative
rice is too dry , $T$ was n ' t so fresh either .	tuna	negative
however , the value and $T$ are both severely lacking .	service	negative
however , the $T$ and service are both severely lacking .	value	negative
furthermore , while the fish is unquestionably fresh , $T$ tend to be inexplicably bland .	rolls	negative
the $T$ ranges from mediocre to offensive .	service	negative
the $T$ ranges from mediocre to offensive .	service	negative
on a recent trip , our $T$ was extremely dismissive , while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby .	waiter	negative
on a recent trip , our waiter was extremely dismissive , while no less than three $T$ waited hand - and - foot on a pair of japanese girls seated nearby .	staff members	negative
the only drawback is that this $T$ is really expensive and the portions are on the small side .	place	negative
the only drawback is that this place is really expensive and the $T$ are on the small side .	portions	negative
– the $T$ was not great & the waiters were rude .	food	negative
– the food was not great & the $T$ were rude .	waiters	negative
the food was great , the margaritas too but the $T$ was too busy being nice to her other larger party than to take better care of my friend and me .	waitress	negative
the only problem is you really have to warm up the $T$ before it ' s edible , even when you order ahead .	pizza	negative
my only negative comment is that i wish the $T$ were a little bigger .	pieces	negative
my g / f and i both agreed the $T$ was very mediocre especially considering the price .	food	negative
my g / f and i both agreed the $T$ was very mediocre especially considering the price .	food	negative
we are locals , and get the feeling the only way this $T$ survives with such average food is because most customers are probably one - time customer tourists .	place	negative
we are locals , and get the feeling the only way this place survives with such average $T$ is because most customers are probably one - time customer tourists .	food	negative
nice $T$ but no spice !	food	negative
the $T$ was all good but it was way too mild .	food	negative
– the food is here is incredible , though the quality is inconsistent during $T$ .	lunch	negative
the only drawback is the crowded $T$ and the slow service .	seating	negative
the only drawback is the crowded seating and the slow $T$ .	service	negative
– my first time to dine at this $T$ was with my son and it was absolutely horrible !	restaurant	negative
i swore never to return for a warm $T$ and mediocre meal .	beer	negative
i swore never to return for a warm beer and mediocre $T$ .	meal	negative
i would go back for the $T$ experience alone .	wine	negative
not the $T$ it once was	place	negative
perhaps now , $T$ falls into the ` ` dive ' ' category .	scooner or later	negative
– it is sad to see a $T$ that was once ` ` the ' ' place to meet and eat for bfast or lunch , now be the place that is a big ` ` dont bother . ' '	place	negative
the $T$ is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the service is the worst i have experienced anywhere ( including mainland europe ) .	food	negative
the $T$ is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the service is the worst i have experienced anywhere ( including mainland europe ) .	food	negative
$T$ food is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the service is the worst i have experienced anywhere ( including mainland europe ) .	the	negative
the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the $T$ is the worst i have experienced anywhere ( including mainland europe ) .	service	negative
what may be interesting to most is the worst sevice / attitude comes from the $T$ of this establishment .	owners	negative
this $T$ really made a marked decline after ( and this is recurring story ) the airing of food televisions ` ` diners , drive - ins , and dives ' ' hosted by guy fieri , in which schooner or later was subject of .	establishment	negative
$T$ was kind of slow , our waitress took forever to give us our check even though it was n ' t that busy .	service	negative
service was kind of slow , our $T$ took forever to give us our check even though it was n ' t that busy .	waitress	negative
good $T$ , high price	sushi	negative
$T$ was limited , but the food made up for it .	space	negative
we stood there for 10 minutes while $T$ walked back and forth ignoring us .	employees	negative
finally , my wife stood face to face in front of one of the $T$ and she asked , ` ` are you waiting for a table ? ' '	staff	negative
the $T$ i ordered had so much lemon i could n ' t eat it .	caesar salad	negative
– this $T$ is unbelievably over - rated .	place	negative
poor $T$ / poor pizza .	customer service	negative
poor customer service / poor $T$ .	pizza	negative
– as with most restaurants in seattle , mioposto ' s $T$ was bad and the food was overpriced .	service	negative
– as with most restaurants in seattle , mioposto ' s service was bad and the $T$ was overpriced .	food	negative
i know many people have their favorite types of $T$ and pizza places , but mioposto ' s pizza lacks quality and good taste .	pizza	negative
to be honest , i ' ve had better frozen $T$ .	pizza	negative
the only positive thing about $T$ is the nice location .	mioposto	negative
the food was ok , but the $T$ was so poor that the food was cold buy the time everyone in my party was served .	service	negative
avoid the $T$	place	negative
when i got there i sat up stairs where the atmosphere was cozy & the $T$ was horrible !	service	negative
we left without ever getting $T$ .	service	negative
great pizza , poor $T$	service	negative
prefer to order it and pick it up though because i do n ' t like the $T$ , one young woman in particular .	servers	negative
prefer to order it and pick it up though because i do n ' t like the servers , one $T$ in particular .	young woman	negative
many people talk about the great pizza and poor $T$ , so it ca n ' t just be the rantings of a few dissatisfied customers .	service	negative
it ' s a great little place with tons of potential to be a neighborhood joint if the $T$ were n ' t so impersonal and corporate - like .	service	negative
chintzy $T$	portions	negative
– the $T$ here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced restaurant ( even for nyc ) .	sushi	negative
– the $T$ here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced restaurant ( even for nyc ) .	sushi	negative
– the $T$ here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced restaurant ( even for nyc ) .	sushi	negative
– the sushi here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced $T$ ( even for nyc ) .	restaurant	negative
terrible $T$ , food ok , pricey	service	negative
$T$ wise , its ok but a bit pricey for what you get considering the restaurant is n ' t a fancy place .	food	negative
if i needed to name some they would include the $T$ to the beach or golden gate park .	location	negative
as usual the $T$ did n ' t disappoint in freshness , although it scored low on creativity and selection .	omikase	negative
very poor $T$ .	customer service	negative
– schooner or later ' s charming location along the marina in long beach and average food does not , unfortunately , compensate for its very poor $T$ .	customer service	negative
while this diner had reasonably good food , the $T$ seemed completely indifferent to our presence , and this attitude was reflected in the lack of service .	restaurant staff	negative
the $T$ was fresh , though it was cut very thin .	fish	negative
the music playing was very hip , 20 - 30 something pop music , but the $T$ was located under my seat , which became annoying midway through dinner .	subwoofer to the sound system	negative
though , one thing i realized later on was that the restaurant either used msg or a meat tenderizer on the $T$ .	steak	negative
the $T$ was a bit unfriendly and the feel of the restaurant was crowded .	waiter	negative
the waiter was a bit unfriendly and the $T$ of the restaurant was crowded .	feel	negative
at best , the $T$ was good and definately overpriced .	food	negative
for the amount of $T$ we got the prices should have been lower .	food	negative
for the amount of $T$ we got the prices should have been lower .	food	negative
i have been to this $T$ , folks and it is bad .	place	negative
maybe it is good for that one night once in a blue moon when the chefs decide to use $T$ that ' s half - way decent .	fish	negative
i have been here , spent tons of money on a $T$ and it was a major dissappointment .	chef special dinner	negative
i have been here , spent tons of money on a $T$ and it was a major dissappointment .	chef special dinner	negative
fancy pieces of $T$ on a $ 100 dollar plate and not one was eatable .	exotic fish	negative
fancy pieces of $T$ on a $ 100 dollar plate and not one was eatable .	exotic fish	negative
fancy pieces of exotic fish on a $ 100 dollar $T$ and not one was eatable .	plate	negative
i have a but here - there was a bathroom attendant in the $T$ which was odd .	restroom	negative
the $T$ itself is very small with two toilets and only one sink , the girl was staying totally on the way hanging out paper towels from the dispenser .	bathroom	negative
the presentation of $T$ is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu .	snooze	negative
the presentation of $T$ is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu .	snooze	negative
the presentation of snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow $T$ .	menu	negative
to start off , approximately 8 - 10 oz of $T$ will cost you $ 3 .	orange juice	negative
they serve it in a tall , skinny hour - glass shaped glass to disguise the fact that you a getting a small $T$ at the price of a half gallon in a supermarket .	juice	negative
they serve it in a tall , skinny hour - glass shaped glass to disguise the fact that you a getting a small $T$ at the price of a half gallon in a supermarket .	juice	negative
the $T$ were certainly inventive but $ 8 . 50 for 3 - 6 ' ' pancakes ( one of them was more like 5 ' ' ) in the pancake flight ( sample of 3 different pancakes ) is well over - priced .	pancakes	negative
the $T$ should be larger ( at least 8 ' ' ) to justify the expense even with the unique offerings .	pancakes	negative
the $T$ should be larger ( at least 8 ' ' ) to justify the expense even with the unique offerings .	pancakes	negative
on my meal i had to send back my $T$ for a simple request of breaking the yokes before cooking , and would have had to send them back again if i had n ' t rejected the meal all together .	eggs	negative
on my $T$ i had to send back my eggs for a simple request of breaking the yokes before cooking , and would have had to send them back again if i had n ' t rejected the meal all together .	meal	negative
i rejected it because in the process of attempting to fix the eggs they broke something else in the $T$ and i was too frustrated to continue .	dish	negative
in the end our check came to $ 27 for 4 small $T$ , a breakfast burrito , an orange juice and an iced tea ( i had water ) .	pancakes	negative
in the end our check came to $ 27 for 4 small $T$ , a breakfast burrito , an orange juice and an iced tea ( i had water ) .	pancakes	negative
in the end our check came to $ 27 for 4 small pancakes , a $T$ , an orange juice and an iced tea ( i had water ) .	breakfast burrito	negative
in the end our check came to $ 27 for 4 small pancakes , a breakfast burrito , an $T$ and an iced tea ( i had water ) .	orange juice	negative
in the end our check came to $ 27 for 4 small pancakes , a breakfast burrito , an orange juice and an $T$ ( i had water ) .	iced tea	negative
– i was highly disappointed in the $T$ at pagoda .	food	negative
sunday afternoons there is a $T$ playing and it is lots of fun .	band	negative
i hope one day $T$ returns to what it once was .	scooner or later	negative
well i guess it ' s hard to be seated when one is invisible to the $T$ .	staff	negative
we had a very hard time getting the $T$ ' attention and finally had to get up and go inside to speak to a manager .	waitress	negative
as it turns out the $T$ was seated right next to us and when he came over to check on our problems was very dismissive and offered a token 20 % discount on our bill .	owner	negative
i went home & looked them up online again where i discovered there is a link for a give away that does n ' t work so emailed the $T$ about the non existent service & deceptive link .	restaurant	negative
after sitting at the bar for over 20 minutes the $T$ had made only 2 drinks & kept telling us she ' d be right with us .	bar keep	negative
$T$ should really take notice and train their waitstaff and teach them some proper manners .	management	negative
management should really take notice and train their $T$ and teach them some proper manners .	waitstaff	negative
i ' m astonished that this $T$ is categorized as $ $ $ rather than $ $ $ $ .	restaurant	negative
in other words , if they are n ' t making $ $ off of you then you do n ' t rate high on their ' $T$ scale ' .	service	negative
a brief conversation with the $T$ at the end of the meal was the greatest disappointment - - to say we had been ` ` blown off ' ' would be an understatement .	manager	negative
the $T$ continually interrupted with ` ` is there anything else i can do for you ? ` ` , a strange comment because she had hardly listened , let alone responded to our expression of disappointment at our experience .	manager	negative
i do n ' t know why anyone would want to write a great review about this $T$ .	place	negative
although the $T$ could be improved considering the money you put in .	service	negative
our drinks kept coming but our $T$ came by a couple times .	server	negative
to their credit they removed the dish from the check ; but no $T$ stopped by to ask what the problem was .	manager	negative
